model,preset,preset_label,gender,image_index,image_name,original_path,reference_path,modified_path,recognizer,cos_distance_original_modified,cos_distance_reference_modified,cos_similarity_original_modified,cos_similarity_reference_modified,identity_replacement_score
hyperswap_1a_256,preset_B,B - strong identity replacement,male,3,male3.png,/srv/filaka-shared/diploma-new/test-img/male3.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/male/male3.png,arcface,1.0151832103729248,0.2517319917678833,-0.015183210372924805,0.7482680082321167,0.7634512186050415
hyperswap_1a_256,preset_B,B - strong identity replacement,male,3,male3.png,/srv/filaka-shared/diploma-new/test-img/male3.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/male/male3.png,adaface,1.014146089553833,0.3282396197319031,-0.014146089553833008,0.6717603802680969,0.6859064698219299
hyperswap_1a_256,preset_B,B - strong identity replacement,male,4,male4.png,/srv/filaka-shared/diploma-new/test-img/male4.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/male/male4.png,arcface,0.9303450584411621,0.1962605118751526,0.06965494155883789,0.8037394881248474,0.7340845465660095
hyperswap_1a_256,preset_B,B - strong identity replacement,male,4,male4.png,/srv/filaka-shared/diploma-new/test-img/male4.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/male/male4.png,adaface,0.9816043972969055,0.21625179052352905,0.018395602703094482,0.783748209476471,0.7653526067733765
hyperswap_1a_256,preset_B,B - strong identity replacement,male,5,male5.png,/srv/filaka-shared/diploma-new/test-img/male5.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/male/male5.png,arcface,1.0163581371307373,0.1832926869392395,-0.016358137130737305,0.8167073130607605,0.8330654501914978
hyperswap_1a_256,preset_B,B - strong identity replacement,male,5,male5.png,/srv/filaka-shared/diploma-new/test-img/male5.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_B/male/male5.png,adaface,1.0421912670135498,0.2397206425666809,-0.042191267013549805,0.7602793574333191,0.8024706244468689
hyperswap_1a_256,preset_C,C - smoother boundary,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_C/female/female1.png,arcface,1.0398401021957397,0.24843603372573853,-0.039840102195739746,0.7515639662742615,0.7914040684700012
hyperswap_1a_256,preset_C,C - smoother boundary,female,1,female1.png,/srv/filaka-shared/diploma-new/test-img/female1.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_C/female/female1.png,adaface,0.9831281304359436,0.21977770328521729,0.016871869564056396,0.7802222967147827,0.7633504271507263
hyperswap_1a_256,preset_C,C - smoother boundary,female,2,female2.png,/srv/filaka-shared/diploma-new/test-img/female2.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_C/female/female2.png,arcface,0.8895466327667236,0.19341838359832764,0.11045336723327637,0.8065816164016724,0.696128249168396
hyperswap_1a_256,preset_C,C - smoother boundary,female,2,female2.png,/srv/filaka-shared/diploma-new/test-img/female2.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_C/female/female2.png,adaface,0.8718013167381287,0.2193547487258911,0.12819868326187134,0.7806452512741089,0.6524465680122375
hyperswap_1a_256,preset_C,C - smoother boundary,female,3,female3.png,/srv/filaka-shared/diploma-new/test-img/female3.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_C/female/female3.png,arcface,0.9747761487960815,0.20542365312576294,0.025223851203918457,0.7945763468742371,0.7693524956703186
hyperswap_1a_256,preset_C,C - smoother boundary,female,3,female3.png,/srv/filaka-shared/diploma-new/test-img/female3.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_C/female/female3.png,adaface,0.9318352341651917,0.22125017642974854,0.06816476583480835,0.7787498235702515,0.7105850577354431
hyperswap_1a_256,preset_C,C - smoother boundary,female,4,female4.png,/srv/filaka-shared/diploma-new/test-img/female4.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_C/female/female4.png,arcface,0.9765794277191162,0.22637486457824707,0.02342057228088379,0.7736251354217529,0.7502045631408691
hyperswap_1a_256,preset_C,C - smoother boundary,female,4,female4.png,/srv/filaka-shared/diploma-new/test-img/female4.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_C/female/female4.png,adaface,0.9681869745254517,0.22435599565505981,0.03181302547454834,0.7756440043449402,0.7438309788703918
hyperswap_1a_256,preset_C,C - smoother boundary,female,5,female5.png,/srv/filaka-shared/diploma-new/test-img/female5.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_C/female/female5.png,arcface,1.0171945095062256,0.23123347759246826,-0.017194509506225586,0.7687665224075317,0.7859610319137573
hyperswap_1a_256,preset_C,C - smoother boundary,female,5,female5.png,/srv/filaka-shared/diploma-new/test-img/female5.png,/srv/filaka-shared/diploma-new/test-img/female_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_C/female/female5.png,adaface,0.9656304121017456,0.2544429302215576,0.034369587898254395,0.7455570697784424,0.711187481880188
hyperswap_1a_256,preset_C,C - smoother boundary,male,1,male1.png,/srv/filaka-shared/diploma-new/test-img/male1.png,/srv/filaka-shared/diploma-new/test-img/male_prot.png,/srv/filaka-shared/diploma-new/face-swap-experiment/processed_data/hyperswap_1a_256/preset_C/male/male1.png,arcface,1.0383392572402954,0.1964801549911499,-0.03833925724029541,0.8035198450088501,0.8418591022491455
